#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 774
numEdges = 3514
usedAlgorithm = NULL
dataSource = GraphMLDataset
numOfFeatures = 20
truth_features = 
END
#################################################################
SECTION2 (Nodes Information)
NodeID att0 att1 att2 att3 att4 att5 att6 att7 att8 att9 att10 att11 att12 att13 att14 att15 att16 att17 att18 att19
0 3.000000 1.102887 1.584634 0.170133 1.122259 -0.423952 0.390717 0.835245 -0.820559 -0.131720 -1.014122 3.723822 1.946875 -0.934882 -0.124058 -0.969731 0.088838 -0.466699 -0.667476 -1.478066 1.263726
1 8.000000 0.952424 0.931936 0.582418 1.350793 -2.225922 0.000000 1.164660 0.000000 0.628254 0.493413 0.205043 -1.388964 -1.203215 0.253828 0.482400 2.102075 -1.290383 -0.813776 -0.886301 0.195564
2 20.000000 1.266498 -1.506377 -1.554676 -0.037730 -0.593204 -0.719255 0.707563 0.033709 0.402400 -1.546741 0.766753 0.572526 -1.859291 0.000000 -0.462541 0.067616 0.131397 0.676208 0.944980 -0.388156
3 21.000000 1.790126 -0.679217 0.503013 0.017481 0.239415 0.000000 0.090009 -1.366739 -0.988436 1.066543 -0.681805 -0.262856 -0.591148 0.513876 0.205418 0.320388 1.355635 -1.031666 -0.453858 -1.436927
4 22.000000 -0.950384 -0.700192 0.992068 -0.481019 0.672794 0.130239 -0.095274 -2.203374 1.612940 1.455081 -1.620471 1.702304 0.689514 0.356792 -0.575052 0.320388 0.284412 -0.503049 -0.302690 -0.042811
5 23.000000 2.857272 0.752537 -0.487398 -0.242255 0.000000 0.000000 -2.475311 -0.231904 0.158020 0.869353 1.025246 0.229011 -0.428520 -0.248212 1.695758 0.640776 0.000000 0.180602 -0.137566 -0.202947
6 27.000000 0.208123 -0.525088 0.290762 -2.395922 0.000000 0.911673 0.967151 0.478412 0.727874 1.034044 -0.446214 0.229011 -0.967093 -0.476245 0.720295 -0.849531 0.398047 0.116374 -0.067848 -0.308284
7 76.000000 -0.592716 0.000000 -0.187030 -1.064592 1.035218 0.390717 -1.064796 0.799083 -1.183961 -0.229005 -1.206404 0.152174 -0.026325 -0.209612 -0.141042 0.427993 -1.103031 -0.293647 -2.184406 -0.520023
8 77.000000 -0.032030 0.376268 1.062708 0.384593 -0.265012 0.260478 -0.015329 0.095646 -2.313577 0.515123 0.595060 -1.722204 0.252752 1.153993 -0.521711 1.153336 0.018346 1.280268 -1.459379 -0.953113
9 89.000000 0.371756 -0.707121 1.651984 0.000000 1.108839 0.000000 -0.399587 1.482421 -0.546637 0.744050 0.578450 0.096940 -2.201700 0.701037 0.858073 -0.546058 0.304396 0.456935 0.472296 0.000000
