#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 856
numEdges = 5320
usedAlgorithm = NULL
dataSource = GraphMLDataset
numOfFeatures = 30
truth_features = 
END
#################################################################
SECTION2 (Nodes Information)
NodeID att0 att1 att2 att3 att4 att5 att6 att7 att8 att9 att10 att11 att12 att13 att14 att15 att16 att17 att18 att19 att20 att21 att22 att23 att24 att25 att26 att27 att28 att29
0 1011.000000 0.327870 -0.839755 0.000936 1.580325 -0.721889 0.471290 -0.197989 0.000891 -0.508350 0.000888 0.650755 0.525998 0.378785 0.000495 0.523737 -0.767906 1.038805 0.092330 0.000487 0.000486 -0.752318 0.783830 -1.425054 0.000471 -2.050954 0.972529 -0.596884 0.360575 0.698484 0.479766
1 1033.000000 1.006418 0.623432 0.067747 -0.573316 -1.124959 0.000908 0.029982 -0.244067 1.265076 0.492135 1.297643 -0.167413 0.000497 1.397097 0.000493 -1.201311 -1.004212 0.147154 -0.822627 0.550875 0.000478 -0.585956 0.000474 -0.810443 0.000469 -1.002955 -0.299647 0.451388 -1.162373 0.000463
2 1060.000000 0.227558 -0.599726 -0.136526 -0.051922 1.025709 1.225169 -1.398100 -0.221664 0.495665 0.204089 -0.663812 0.218429 0.279688 1.020934 0.000493 1.029622 0.253725 -0.904326 0.477433 -0.239118 -0.086905 1.241511 0.000474 0.000471 0.662215 -1.136814 -0.004297 -1.201582 0.000464 0.000463
3 1068.000000 -0.334367 0.000943 -0.223858 0.939277 -1.419677 1.518844 0.660127 0.325447 0.000890 0.378783 1.092822 1.141190 -2.516434 -0.643249 0.097308 0.000491 0.159468 -1.568983 2.211763 1.717694 -0.351126 -0.091349 -0.416446 1.234075 -1.946647 -0.581554 0.000468 0.000467 0.081421 0.000463
4 1071.000000 -0.326818 -0.395669 -1.210357 0.222617 -0.295881 0.083465 -1.010034 0.577508 0.000890 0.000888 -1.081199 0.210545 -0.023519 -1.024067 -0.270431 -0.314985 0.338959 -0.528958 0.730581 -0.651643 0.000478 -0.202188 0.702307 0.000471 0.280456 -0.069127 0.907842 -0.564207 1.862409 0.000463
5 1092.000000 0.349882 -0.684105 1.041642 2.423989 0.000916 1.296691 -0.921811 -0.254012 0.313752 1.544025 0.000863 1.275888 0.000497 0.889223 0.105532 1.666137 1.027898 -0.327820 0.567002 -2.660977 0.000478 -0.615417 0.000474 -0.148161 -1.256138 0.752048 0.471543 -0.818230 0.302832 -0.123006
6 1101.000000 0.000968 -0.314862 0.717404 -1.238442 0.771316 -0.258309 -0.530626 -1.313237 -0.507570 0.572337 -0.032480 1.748237 -1.775874 -1.080808 0.000493 -1.309638 0.000489 -0.294882 0.022860 0.401196 -0.170494 0.159719 -1.160069 0.162076 0.000469 1.052612 0.073426 0.000467 -0.638146 0.412478
7 1118.000000 1.053133 0.881108 -0.152673 -1.017266 0.906881 -0.115820 0.000894 -0.679043 0.552508 -0.142839 -0.411735 0.071144 0.251648 0.000495 -0.610633 -1.598025 -2.012827 -1.050285 -1.458631 0.000486 1.837944 0.000478 -1.034090 -2.133747 -0.571287 -1.890299 -1.218670 2.084359 0.000464 -1.249575
8 1122.000000 -0.862252 0.582054 0.804754 0.000934 1.125938 0.000908 0.209134 0.862212 -1.191812 0.000888 0.541960 -0.042481 0.819403 0.406035 0.995621 0.960885 0.804005 0.000488 0.112608 -1.157538 0.000478 -0.216025 0.000474 0.000471 1.853233 1.620302 0.000468 0.000467 0.516677 -0.238763
9 1124.000000 1.738343 2.270508 0.946489 0.749022 0.000916 0.000908 -0.095724 0.000891 0.442652 1.448689 0.385498 0.171687 -2.212409 0.000495 1.449299 1.387132 0.133342 -0.113175 0.211405 0.347797 0.000478 -0.777867 -0.843293 -0.681860 -0.587561 0.000469 1.823145 1.038952 0.927667 0.984519
